DATE,TIME,TIMESTAMP,DID,MODE,ANGLE
2021-08-29,11:34:52,1630236756,A676351344,MANUAL,0.2
2021-08-29,11:34:53,1630236754,A676361345,MANUAL,-0.0
2021-08-29,11:34:54,1630236755,A676371346,MANUAL,4.0
2021-08-29,11:34:59,1630236755,A676391348,MANUAL,0.4
2021-08-29,11:35:00,1630236705,A676401349,MANUAL,-0.0
2021-08-29,11:35:01,1630236753,A676411350,MANUAL,-0.5
2021-08-29,11:35:02,1630236753,A676421351,MANUAL,-0.0
2021-08-29,11:35:03,1630236754,A676431352,MANUAL,2.2
2021-08-29,11:35:04,1630236755,A676441353,MANUAL,0.1
2021-08-29,11:35:05,1630236755,A676451354,MANUAL,-0.5
2021-08-29,11:35:06,1630236754,A676461355,MANUAL,0.6
2021-08-29,11:35:08,1630236755,A676471356,MANUAL,0.0
2021-08-29,11:35:09,1630236755,A676481357,MANUAL,-0.2
2021-08-29,11:35:10,1630236756,A676491358,MANUAL,-1.7
2021-08-29,11:35:11,1630236757,A676501359,MANUAL,0.2
2021-08-29,11:35:12,1630236750,A676511360,MANUAL,0.0
2021-08-29,11:35:14,1630236750,A676521361,MANUAL,-0.0
2021-08-29,11:35:15,1630236751,A676531362,MANUAL,-0.4
2021-08-29,11:35:16,1630236751,A676541363,MANUAL,0.2
2021-08-29,11:35:17,1630236752,A676551364,MANUAL,-0.0
2021-08-29,11:35:19,1630236751,A676561365,MANUAL,1.2
2021-08-29,11:35:20,1630236752,A676571366,MANUAL,0.5
2021-08-29,11:35:22,1630236753,A676581367,MANUAL,-0.0
